band.name,band.genre,band.numberOfParticipants,band.singlesCount,band.description,band.albumsCount,coord.x,coord.y,album.name,album.sales,front.name,front.eyeColor,front.hairColor,front.country,front.weight,front.birthday,loc.x,loc.y,loc.name
UniqueBand_39,PSYCHEDELIC_CLOUD_RAP,7,10,Unique description for band 39,8,13.9,295,UniqueAlbum_39,2789,UniqueFront_39,ORANGE,GREEN,SOUTH_KOREA,78,1986-05-18,940,23.9,UniqueLoc_39
UniqueBand_40,ROCK,10,5,Unique description for band 40,2,14.0,435,UniqueAlbum_40,2663,UniqueFront_40,GREEN,ORANGE,NORTH_KOREA,73,1996-06-12,241,24.0,UniqueLoc_40
UniqueBand_41,POST_PUNK,10,8,Unique description for band 41,10,14.1,365,UniqueAlbum_41,8722,UniqueFront_41,WHITE,ORANGE,NORTH_KOREA,68,1976-04-08,933,24.1,UniqueLoc_41
UniqueBand_42,POST_PUNK,10,20,Unique description for band 42,5,14.2,310,UniqueAlbum_42,7016,UniqueFront_42,WHITE,ORANGE,SOUTH_KOREA,76,1996-10-02,375,24.2,UniqueLoc_42
UniqueBand_43,ROCK,6,2,Unique description for band 43,4,14.3,344,UniqueAlbum_43,7356,UniqueFront_43,GREEN,GREEN,UNITED_KINGDOM,83,1992-10-10,165,24.3,UniqueLoc_43
UniqueBand_44,ROCK,7,8,Unique description for band 44,13,14.4,232,UniqueAlbum_44,8755,UniqueFront_44,ORANGE,GREEN,NORTH_KOREA,90,1974-12-29,658,24.4,UniqueLoc_44
UniqueBand_45,POP,7,16,Unique description for band 45,2,14.5,241,UniqueAlbum_45,4307,UniqueFront_45,GREEN,GREEN,NORTH_KOREA,63,1987-02-28,189,24.5,UniqueLoc_45
UniqueBand_46,ROCK,6,1,Unique description for band 46,6,14.6,197,UniqueAlbum_46,1323,UniqueFront_46,ORANGE,ORANGE,UNITED_KINGDOM,70,1974-05-10,670,24.6,UniqueLoc_46
UniqueBand_47,BLUES,3,9,Unique description for band 47,6,14.7,221,UniqueAlbum_47,4129,UniqueFront_47,GREEN,GREEN,NORTH_KOREA,69,1984-02-24,449,24.7,UniqueLoc_47
UniqueBand_48,POST_PUNK,3,9,Unique description for band 48,6,14.8,247,UniqueAlbum_48,6552,UniqueFront_48,ORANGE,GREEN,UNITED_KINGDOM,90,1986-07-10,679,24.8,UniqueLoc_48
UniqueBand_49,ROCK,9,16,Unique description for band 49,4,14.9,121,UniqueAlbum_49,1301,UniqueFront_49,WHITE,ORANGE,SOUTH_KOREA,81,1992-09-23,495,24.9,UniqueLoc_49
UniqueBand_50,POST_PUNK,10,20,Unique description for band 50,1,15.0,143,UniqueAlbum_50,5832,UniqueFront_50,WHITE,WHITE,NORTH_KOREA,85,1975-11-18,579,25.0,UniqueLoc_50
UniqueBand_51,POP,9,14,Unique description for band 51,10,15.1,392,UniqueAlbum_51,8158,UniqueFront_51,WHITE,WHITE,NORTH_KOREA,64,1972-03-14,115,25.1,UniqueLoc_51
UniqueBand_52,POP,10,4,Unique description for band 52,3,15.2,312,UniqueAlbum_52,9084,UniqueFront_52,GREEN,ORANGE,SOUTH_KOREA,90,1995-12-15,757,25.2,UniqueLoc_52
UniqueBand_53,PSYCHEDELIC_CLOUD_RAP,10,7,Unique description for band 53,2,15.3,318,UniqueAlbum_53,2638,UniqueFront_53,GREEN,WHITE,FRANCE,79,1988-11-12,549,25.3,UniqueLoc_53
UniqueBand_54,ROCK,10,15,Unique description for band 54,13,15.4,165,UniqueAlbum_54,8463,UniqueFront_54,WHITE,WHITE,NORTH_KOREA,80,1991-11-15,177,25.4,UniqueLoc_54
UniqueBand_55,POP,6,11,Unique description for band 55,7,15.5,163,UniqueAlbum_55,4535,UniqueFront_55,ORANGE,WHITE,FRANCE,87,1975-11-20,676,25.5,UniqueLoc_55
UniqueBand_56,POST_PUNK,9,16,Unique description for band 56,1,15.6,366,UniqueAlbum_56,6976,UniqueFront_56,WHITE,WHITE,UNITED_KINGDOM,62,1974-06-29,872,25.6,UniqueLoc_56
UniqueBand_57,PSYCHEDELIC_CLOUD_RAP,4,20,Unique description for band 57,14,15.7,337,UniqueAlbum_57,4309,UniqueFront_57,WHITE,ORANGE,FRANCE,65,1978-04-13,106,25.7,UniqueLoc_57
UniqueBand_58,POP,10,7,Unique description for band 58,3,15.8,244,UniqueAlbum_58,4085,UniqueFront_58,WHITE,ORANGE,NORTH_KOREA,88,1975-10-29,957,25.8,UniqueLoc_58
UniqueBand_59,POP,7,15,Unique description for band 59,9,15.9,274,UniqueAlbum_59,1163,UniqueFront_59,ORANGE,WHITE,NORTH_KOREA,67,1980-09-11,617,25.9,UniqueLoc_59
UniqueBand_60,BLUES,3,16,Unique description for band 60,14,16.0,398,UniqueAlbum_60,9371,UniqueFront_60,ORANGE,GREEN,NORTH_KOREA,84,1996-10-16,885,26.0,UniqueLoc_60
UniqueBand_61,BLUES,3,13,Unique description for band 61,1,16.1,329,UniqueAlbum_61,3935,UniqueFront_61,WHITE,WHITE,SOUTH_KOREA,79,1985-06-08,596,26.1,UniqueLoc_61
UniqueBand_62,POP,3,5,Unique description for band 62,2,16.2,232,UniqueAlbum_62,4607,UniqueFront_62,WHITE,GREEN,NORTH_KOREA,62,1979-02-12,836,26.2,UniqueLoc_62
UniqueBand_63,POP,9,15,Unique description for band 63,8,16.3,347,UniqueAlbum_63,2975,UniqueFront_63,WHITE,GREEN,NORTH_KOREA,69,1974-02-09,529,26.3,UniqueLoc_63
UniqueBand_64,PSYCHEDELIC_CLOUD_RAP,7,15,Unique description for band 64,1,16.4,445,UniqueAlbum_64,4768,UniqueFront_64,WHITE,ORANGE,SOUTH_KOREA,85,1982-09-14,477,26.4,UniqueLoc_64
UniqueBand_65,POST_PUNK,6,4,Unique description for band 65,2,16.5,389,UniqueAlbum_65,1746,UniqueFront_65,WHITE,GREEN,SOUTH_KOREA,70,1977-11-12,681,26.5,UniqueLoc_65
UniqueBand_66,POST_PUNK,5,16,Unique description for band 66,12,16.6,397,UniqueAlbum_66,9886,UniqueFront_66,ORANGE,ORANGE,NORTH_KOREA,86,1991-02-25,614,26.6,UniqueLoc_66
UniqueBand_67,BLUES,7,5,Unique description for band 67,13,16.7,351,UniqueAlbum_67,1020,UniqueFront_67,GREEN,ORANGE,UNITED_KINGDOM,88,1979-11-11,382,26.7,UniqueLoc_67
UniqueBand_68,PSYCHEDELIC_CLOUD_RAP,9,1,Unique description for band 68,10,16.8,354,UniqueAlbum_68,2313,UniqueFront_68,GREEN,WHITE,NORTH_KOREA,88,1994-06-13,696,26.8,UniqueLoc_68
UniqueBand_69,BLUES,8,5,Unique description for band 69,14,16.9,176,UniqueAlbum_69,6421,UniqueFront_69,WHITE,WHITE,NORTH_KOREA,75,1970-11-18,306,26.9,UniqueLoc_69
UniqueBand_70,ROCK,8,6,Unique description for band 70,6,17.0,424,UniqueAlbum_70,6828,UniqueFront_70,WHITE,GREEN,NORTH_KOREA,86,1988-07-14,573,27.0,UniqueLoc_70
UniqueBand_71,POST_PUNK,6,18,Unique description for band 71,12,17.1,226,UniqueAlbum_71,6249,UniqueFront_71,WHITE,ORANGE,NORTH_KOREA,88,1972-08-17,453,27.1,UniqueLoc_71
UniqueBand_72,ROCK,10,15,Unique description for band 72,10,17.2,316,UniqueAlbum_72,2518,UniqueFront_72,GREEN,ORANGE,NORTH_KOREA,64,1971-04-30,119,27.2,UniqueLoc_72
UniqueBand_73,POST_PUNK,8,9,Unique description for band 73,12,17.3,126,UniqueAlbum_73,9389,UniqueFront_73,ORANGE,WHITE,UNITED_KINGDOM,90,1982-02-13,901,27.3,UniqueLoc_73
UniqueBand_74,BLUES,4,19,Unique description for band 74,15,17.4,232,UniqueAlbum_74,9036,UniqueFront_74,WHITE,WHITE,NORTH_KOREA,84,1989-03-18,833,27.4,UniqueLoc_74
UniqueBand_75,PSYCHEDELIC_CLOUD_RAP,2,20,Unique description for band 75,13,17.5,344,UniqueAlbum_75,3665,UniqueFront_75,GREEN,GREEN,SOUTH_KOREA,68,1994-06-18,998,27.5,UniqueLoc_75
UniqueBand_76,ROCK,8,17,Unique description for band 76,12,17.6,280,UniqueAlbum_76,4040,UniqueFront_76,WHITE,WHITE,FRANCE,84,1995-07-17,599,27.6,UniqueLoc_76
UniqueBand_77,BLUES,5,14,Unique description for band 77,12,17.7,151,UniqueAlbum_77,5109,UniqueFront_77,WHITE,ORANGE,FRANCE,77,1973-03-07,990,27.7,UniqueLoc_77
UniqueBand_78,POP,2,4,Unique description for band 78,6,17.8,338,UniqueAlbum_78,4342,UniqueFront_78,WHITE,GREEN,UNITED_KINGDOM,82,1981-12-18,165,27.8,UniqueLoc_78
UniqueBand_79,BLUES,5,13,Unique description for band 79,1,17.9,438,UniqueAlbum_79,7443,UniqueFront_79,GREEN,GREEN,SOUTH_KOREA,68,1994-01-24,495,27.9,UniqueLoc_79
UniqueBand_80,POP,3,12,Unique description for band 80,4,18.0,126,UniqueAlbum_80,2193,UniqueFront_80,GREEN,GREEN,FRANCE,88,1996-01-02,398,28.0,UniqueLoc_80
UniqueBand_81,POST_PUNK,3,8,Unique description for band 81,2,18.1,138,UniqueAlbum_81,9265,UniqueFront_81,GREEN,GREEN,UNITED_KINGDOM,73,1983-12-31,968,28.1,UniqueLoc_81
UniqueBand_82,PSYCHEDELIC_CLOUD_RAP,9,16,Unique description for band 82,9,18.2,264,UniqueAlbum_82,3876,UniqueFront_82,GREEN,ORANGE,UNITED_KINGDOM,68,1981-10-13,207,28.2,UniqueLoc_82
UniqueBand_83,BLUES,4,10,Unique description for band 83,13,18.3,232,UniqueAlbum_83,7426,UniqueFront_83,ORANGE,GREEN,FRANCE,86,1982-07-04,370,28.3,UniqueLoc_83
UniqueBand_84,POP,10,2,Unique description for band 84,9,18.4,275,UniqueAlbum_84,9224,UniqueFront_84,WHITE,GREEN,UNITED_KINGDOM,89,1991-01-14,924,28.4,UniqueLoc_84
UniqueBand_85,POP,4,19,Unique description for band 85,13,18.5,242,UniqueAlbum_85,2358,UniqueFront_85,WHITE,ORANGE,UNITED_KINGDOM,71,1970-04-19,605,28.5,UniqueLoc_85
UniqueBand_86,PSYCHEDELIC_CLOUD_RAP,8,1,Unique description for band 86,7,18.6,148,UniqueAlbum_86,4552,UniqueFront_86,GREEN,ORANGE,UNITED_KINGDOM,81,1973-01-17,628,28.6,UniqueLoc_86
UniqueBand_87,ROCK,5,15,Unique description for band 87,13,18.7,101,UniqueAlbum_87,6049,UniqueFront_87,ORANGE,GREEN,NORTH_KOREA,85,1971-11-08,209,28.7,UniqueLoc_87
UniqueBand_88,POST_PUNK,8,5,Unique description for band 88,2,18.8,141,UniqueAlbum_88,4568,UniqueFront_88,ORANGE,GREEN,UNITED_KINGDOM,79,1978-09-19,482,28.8,UniqueLoc_88
UniqueBand_89,ROCK,5,1,Unique description for band 89,15,18.9,367,UniqueAlbum_89,1205,UniqueFront_89,WHITE,GREEN,UNITED_KINGDOM,69,1993-04-26,825,28.9,UniqueLoc_89
UniqueBand_90,POST_PUNK,7,8,Unique description for band 90,1,19.0,157,UniqueAlbum_90,3647,UniqueFront_90,WHITE,ORANGE,NORTH_KOREA,79,1978-06-23,350,29.0,UniqueLoc_90
UniqueBand_91,POST_PUNK,4,5,Unique description for band 91,11,19.1,212,UniqueAlbum_91,4960,UniqueFront_91,GREEN,WHITE,FRANCE,87,1984-03-31,785,29.1,UniqueLoc_91
UniqueBand_92,BLUES,8,5,Unique description for band 92,6,19.2,262,UniqueAlbum_92,4885,UniqueFront_92,ORANGE,ORANGE,NORTH_KOREA,83,1996-12-16,311,29.2,UniqueLoc_92
UniqueBand_93,POP,4,17,Unique description for band 93,5,19.3,398,UniqueAlbum_93,2391,UniqueFront_93,WHITE,ORANGE,UNITED_KINGDOM,86,1973-02-15,427,29.3,UniqueLoc_93
UniqueBand_94,BLUES,8,19,Unique description for band 94,11,19.4,212,UniqueAlbum_94,5392,UniqueFront_94,WHITE,GREEN,SOUTH_KOREA,71,1971-09-03,484,29.4,UniqueLoc_94
UniqueBand_95,BLUES,5,6,Unique description for band 95,11,19.5,270,UniqueAlbum_95,4424,UniqueFront_95,GREEN,GREEN,SOUTH_KOREA,63,1981-02-12,780,29.5,UniqueLoc_95
UniqueBand_96,PSYCHEDELIC_CLOUD_RAP,2,5,Unique description for band 96,2,19.6,183,UniqueAlbum_96,4273,UniqueFront_96,GREEN,WHITE,SOUTH_KOREA,68,1994-05-24,996,29.6,UniqueLoc_96
UniqueBand_97,PSYCHEDELIC_CLOUD_RAP,9,5,Unique description for band 97,15,19.7,346,UniqueAlbum_97,4785,UniqueFront_97,GREEN,GREEN,SOUTH_KOREA,83,1976-09-28,805,29.7,UniqueLoc_97
UniqueBand_98,BLUES,2,13,Unique description for band 98,1,19.8,401,UniqueAlbum_98,3463,UniqueFront_98,WHITE,ORANGE,UNITED_KINGDOM,84,1996-11-11,339,29.8,UniqueLoc_98
UniqueBand_99,ROCK,4,10,Unique description for band 99,10,19.9,439,UniqueAlbum_99,7682,UniqueFront_99,WHITE,ORANGE,NORTH_KOREA,69,1971-06-28,557,29.9,UniqueLoc_99
UniqueBand_100,POST_PUNK,9,1,Unique description for band 100,7,20.0,384,UniqueAlbum_100,1464,UniqueFront_100,ORANGE,GREEN,SOUTH_KOREA,61,1973-02-21,644,30.0,UniqueLoc_100
UniqueBand_101,ROCK,5,2,Unique description for band 101,9,20.1,266,UniqueAlbum_101,9576,UniqueFront_101,WHITE,WHITE,UNITED_KINGDOM,77,1972-08-05,589,30.1,UniqueLoc_101
UniqueBand_102,POP,10,19,Unique description for band 102,13,20.2,408,UniqueAlbum_102,3466,UniqueFront_102,GREEN,ORANGE,UNITED_KINGDOM,73,1973-04-26,273,30.2,UniqueLoc_102
UniqueBand_103,POP,9,16,Unique description for band 103,6,20.3,172,UniqueAlbum_103,1279,UniqueFront_103,GREEN,GREEN,NORTH_KOREA,64,1992-07-28,702,30.3,UniqueLoc_103
UniqueBand_104,PSYCHEDELIC_CLOUD_RAP,6,14,Unique description for band 104,4,20.4,311,UniqueAlbum_104,8203,UniqueFront_104,GREEN,GREEN,UNITED_KINGDOM,85,1992-02-06,528,30.4,UniqueLoc_104
UniqueBand_105,POP,2,20,Unique description for band 105,11,20.5,202,UniqueAlbum_105,4656,UniqueFront_105,WHITE,ORANGE,NORTH_KOREA,65,1983-01-04,778,30.5,UniqueLoc_105
UniqueBand_106,ROCK,6,12,Unique description for band 106,10,20.6,250,UniqueAlbum_106,6389,UniqueFront_106,WHITE,GREEN,UNITED_KINGDOM,74,1992-04-10,220,30.6,UniqueLoc_106
UniqueBand_107,BLUES,9,17,Unique description for band 107,8,20.7,313,UniqueAlbum_107,5453,UniqueFront_107,ORANGE,GREEN,NORTH_KOREA,76,1988-02-06,684,30.7,UniqueLoc_107
UniqueBand_108,POST_PUNK,8,17,Unique description for band 108,14,20.8,107,UniqueAlbum_108,9177,UniqueFront_108,ORANGE,ORANGE,FRANCE,70,1978-07-31,899,30.8,UniqueLoc_108
UniqueBand_109,ROCK,9,12,Unique description for band 109,12,20.9,165,UniqueAlbum_109,3155,UniqueFront_109,GREEN,ORANGE,SOUTH_KOREA,62,1985-07-30,609,30.9,UniqueLoc_109
UniqueBand_110,ROCK,3,17,Unique description for band 110,2,21.0,409,UniqueAlbum_110,5672,UniqueFront_110,GREEN,WHITE,NORTH_KOREA,63,1991-08-06,287,31.0,UniqueLoc_110
UniqueBand_111,POST_PUNK,7,14,Unique description for band 111,14,21.1,382,UniqueAlbum_111,6472,UniqueFront_111,WHITE,GREEN,SOUTH_KOREA,86,1977-11-05,984,31.1,UniqueLoc_111
UniqueBand_112,POP,2,5,Unique description for band 112,7,21.2,314,UniqueAlbum_112,3083,UniqueFront_112,ORANGE,WHITE,FRANCE,83,1995-07-04,516,31.2,UniqueLoc_112
UniqueBand_113,ROCK,5,6,Unique description for band 113,9,21.3,365,UniqueAlbum_113,6661,UniqueFront_113,GREEN,WHITE,FRANCE,81,1994-08-13,888,31.3,UniqueLoc_113
UniqueBand_114,ROCK,8,18,Unique description for band 114,13,21.4,131,UniqueAlbum_114,5059,UniqueFront_114,GREEN,WHITE,FRANCE,81,1995-03-15,312,31.4,UniqueLoc_114
UniqueBand_115,BLUES,5,17,Unique description for band 115,10,21.5,214,UniqueAlbum_115,6781,UniqueFront_115,ORANGE,ORANGE,FRANCE,72,1970-09-03,820,31.5,UniqueLoc_115
UniqueBand_116,PSYCHEDELIC_CLOUD_RAP,3,19,Unique description for band 116,13,21.6,406,UniqueAlbum_116,1156,UniqueFront_116,WHITE,GREEN,FRANCE,81,1975-12-29,686,31.6,UniqueLoc_116
UniqueBand_117,ROCK,9,8,Unique description for band 117,6,21.7,165,UniqueAlbum_117,9376,UniqueFront_117,GREEN,WHITE,FRANCE,64,1984-04-15,764,31.7,UniqueLoc_117
UniqueBand_118,ROCK,8,8,Unique description for band 118,4,21.8,370,UniqueAlbum_118,8122,UniqueFront_118,GREEN,ORANGE,UNITED_KINGDOM,85,1982-07-24,116,31.8,UniqueLoc_118
UniqueBand_119,ROCK,9,11,Unique description for band 119,10,21.9,347,UniqueAlbum_119,5055,UniqueFront_119,WHITE,WHITE,NORTH_KOREA,78,1980-10-17,545,31.9,UniqueLoc_119
UniqueBand_120,ROCK,5,19,Unique description for band 120,9,22.0,272,UniqueAlbum_120,3547,UniqueFront_120,GREEN,GREEN,SOUTH_KOREA,68,1976-05-10,581,32.0,UniqueLoc_120
UniqueBand_121,POST_PUNK,7,19,Unique description for band 121,12,22.1,228,UniqueAlbum_121,8754,UniqueFront_121,GREEN,WHITE,FRANCE,77,1981-02-27,562,32.1,UniqueLoc_121
UniqueBand_122,POST_PUNK,3,18,Unique description for band 122,15,22.2,335,UniqueAlbum_122,3705,UniqueFront_122,ORANGE,GREEN,UNITED_KINGDOM,87,1974-09-18,435,32.2,UniqueLoc_122
UniqueBand_123,POST_PUNK,9,11,Unique description for band 123,4,22.3,278,UniqueAlbum_123,5347,UniqueFront_123,WHITE,ORANGE,NORTH_KOREA,86,1988-07-24,548,32.3,UniqueLoc_123
UniqueBand_124,POST_PUNK,8,4,Unique description for band 124,8,22.4,143,UniqueAlbum_124,7900,UniqueFront_124,WHITE,GREEN,FRANCE,73,1970-08-21,734,32.4,UniqueLoc_124
UniqueBand_125,BLUES,7,14,Unique description for band 125,1,22.5,334,UniqueAlbum_125,1261,UniqueFront_125,ORANGE,GREEN,FRANCE,66,1995-03-01,323,32.5,UniqueLoc_125
UniqueBand_126,ROCK,7,9,Unique description for band 126,7,22.6,183,UniqueAlbum_126,6844,UniqueFront_126,WHITE,GREEN,SOUTH_KOREA,83,1986-08-11,988,32.6,UniqueLoc_126
UniqueBand_127,POP,2,17,Unique description for band 127,4,22.7,256,UniqueAlbum_127,7048,UniqueFront_127,ORANGE,ORANGE,UNITED_KINGDOM,85,1989-12-02,849,32.7,UniqueLoc_127
UniqueBand_128,PSYCHEDELIC_CLOUD_RAP,5,4,Unique description for band 128,5,22.8,190,UniqueAlbum_128,1991,UniqueFront_128,WHITE,WHITE,FRANCE,90,1985-02-10,884,32.8,UniqueLoc_128
UniqueBand_129,BLUES,6,2,Unique description for band 129,12,22.9,302,UniqueAlbum_129,3192,UniqueFront_129,WHITE,ORANGE,NORTH_KOREA,62,1981-02-15,787,32.9,UniqueLoc_129
